#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
2700,,,Statewise Representation,Brooklyn,Brookdale University Hospital and Medical Center,8/28/2013,The May 24 loss of a portable device resulted in the exposure of patient information.  ,HHS via PHIPrivacy.net,"Brooklyn, New York",1,"2,700 (No SSNs or financial information reported)",,New York,Unknown,PORT,MED
2045,,,Statewise Representation,Sidney,Young Family Medicine Inc.,8/28/2013,The June 12 theft of a laptop resulted in the exposure of patient information.,HHS via PHIPrivacy.net,"Sidney, Ohio",1,"2,045 (No SSNs or financial information reported)",,Ohio,Unknown,PORT,MED
1500,,,Statewise Representation,Denver,Office of Janna Benkelman,8/28/2013,"An office burglary resulted in the exposure of patient information.  A laptop was stolen from the office of Janna Benkelman, a licensed professional counselor.  The laptop was password-protected. ",PHIPrivacy.net,"Denver, Colorado",1,"1,500 (No SSNs or financial information reported)",,Colorado,Unknown,PORT,MED
4,4000000,0.0001,Statewise Representation,Park Ridge,"Advocate Medical Group, Advocate Health",8/28/2013,"The July 15 office theft of four unencrypted desktop computers resulted in the exposure of patient information. Approximately four million patients who were seen by Advocate Medical Group physicians between the early 1990s and July of 2013 were affected.  Names, Social Security numbers, addresses, and dates of birth were exposed.  Diagnoses, medical record numbers, medical service codes, and health insurance information was also exposed in some circumstances.UPDATE (09/06/2013): A class-action lawsuit on behalf of patients in the Chicago area has been filed.  It claims that Advocate Medical Center should have done more to protect patient information.",Media,"Park Ridge, Illinois",1,4 million,,Illinois,"4,000,000",STAT,MED
9000,9000,100,Statewise Representation,Atlanta,LabMD,8/29/2013,"An FTC complaint states that a LabMD spreadsheet with insurance billing data of over 9,000 customers was discovered on a public file sharing network. Social Security numbers, insurance information, medical treatment codes, and dates of birth were exposed by the cyber security issue.  Identity thieves were found to have acquired the personal information of at least 500 LabMD customers.UPDATE (11/15/2013): LabMD disputed the FTC probe and alleged that the government funded the breach to retaliate against LabMD.",Media,"Atlanta, Georgia",1,"9,000",,Georgia,"9,000",HACK,MED
596,,,Statewise Representation,Houston,"University of Texas, Texas Health Science Center at Houston Medical School",8/29/2013,"An unencrypted laptop that was housed in a locked closet was discovered missing on August 2.  The computer contained names, dates of birth, medical record numbers, and hand and arm image data taken between February 2010 and July 13.  The laptop had not been used since July 19.",Media,"Houston, Texas",1,596 (No SSNs or financial information reported),,Texas,Unknown,PORT,MED
10000,10000,100,Statewise Representation,O'Fallon,Olson & White Orthodontics,8/30/2013,"The July 22 office theft of several computers resulted in the exposure of patient health information.  Names, addresses, X-rays, photos, and diagnostic findings were exposed.UPDATE (09/04/2013): Two desktops were stolen.  Social Security numbers were also exposed.",Media,"O'Fallon, Missouri",1,"10,000",,Missouri,"10,000",STAT,MED
2600,,,Statewise Representation,St. Louis,St. Anthony,9/3/2013,"The July 29 car burglary of a laptop computer and flash drive resulted in the exposure of patient information.  Patient names, dates of birth, and other information contained in medical records were exposed.",Media,"St. Louis, Missouri",1,"2,600 (No SSNs or financial information reported)",,Missouri,Unknown,PORT,MED
10000,8000,125,Statewise Representation,Charleston,"Medical University of South Carolina (MUSC), Dreyer Medical Clinic, Blackhawk Consulting Group",9/5/2013,"A hacker from outside of the United States accessed customer information from Blackhawk Consulting Group, a credit card processing vendor.  The information included financial information from customers who paid the Medical Univeristy of Southern Carolina with a credit card online or over the phone between June 30 and August 21. No patient information was accessed. Some of Blackhawk Consulting Group's other customers were affected and a total of 10,000 people may have had their information exposed.UPDATE (09/09/2013): Specifically, names, billing addresses, email addresses, payment card numbers, expiration dates, and CCV2 numbers were exposed by a Blackhhawk Consulting Group hack in August. ",Media,"Charleston, South Carolina",1,"10,000 (about 8,000 from MUSC and Dreyer Medical Clinic)",,South Carolina,"8,000",HACK,MED
3100,,,Statewise Representation,Springfield,Illinois Department of Healthcare and Family Services,9/6/2013,"A contractor sent Family Health Network ID cards to the wrong addresses in July of 2013.  A total of 3,100 clients had their names, Medicaid numbers, and dates of birth exposed.",Media,"Springfield, Illinois",1,"3,100 (No Social Security numbers or financial information reported)",,Illinois,Unknown,DISC,MED
106,106,100,Statewise Representation,Tampa,James A. Haley Veterans Hospital,9/6/2013,"A volunteer allegedly stole the names and Social Security numbers of 106 patients and used the information to file $550,000 worth of fraudulent tax returns.  The volunteer had a co-conspirator and the breach began in late January of 2012.  ",Media,"Tampa, Florida",1,106,,Florida,106,INSD,MED
2182,,,Statewise Representation,San Jose,Office of Dr. Hankyu Chung,9/6/2013,"A June 17 office burglary resulted in the theft of two laptops.  One of the laptops contained names, telephone numbers, dates of birth, visit dates, health complaints, physical examination notes, diagnoses, testing information, medication information, and other medical record information.  The thief or thieves were able to get into the office by opening an unlocked door.  No identity theft protection services are being offered to affected patients.UPDATE (11/08/2013): HHS received a report stating that 2,182 patients were affected by the breach.",California Attorney General,"San Jose, California",1,"2,182 (No Social Security numbers or financial information reported)",,California,Unknown,PORT,MED
,,,Statewise Representation,Oakland,Kaiser Permanente,9/11/2013,"Participants in a Wellness Screening competition pilot may have had their information exposed.  A Kaiser Permanente employee accidentally included confidential information in an email sent to a member of the pilot planning team. In addition to a summary of the competition, it included names, Kaiser Permanente medical record numbers, phone numbers, email addresses, names of employers, department names, and dates and times of health screenings.  The pilot planning team member was not authorized to receive the confidential information.",California Attorney General,"Oakland, California",1,Unknown,,California,Unknown,DISC,MED
2400,2400,100,Statewise Representation,St. Paul,MNsure,9/13/2013,"An agency employee accidentally sent the information of 2,400 insurance agents to two other MNsure employees via email.  MNsure instructed the employees to delete the information.  Names, Social Security numbers, and addresses were part of the breach.UPDATE (12/12/2013): It was also discovered that the health insurance exchange has vulnerabilities that may allow hackers to see information travelling between a user's computer to the MNsure website.",Media,"St. Paul, Minnesota",1,"2,400&nbsp;",,Minnesota,"2,400",DISC,MED
2575,,,Statewise Representation,Indianapolis,"St. Francis Health Network, Advantage Health Solutions",9/18/2013,Advantage Health Solutions and St. Francis Health Network (Franciscan Alliance ACO) were affected by a breach.,HHS via PHIPrivacy.net,"Indianapolis, Indiana",1,"2,575 (No SSNs or financial information reported)",,Indiana,Unknown,UNKN,MED
2900,,,Statewise Representation,South Bend,"Logan Community Resources, Inc.",9/18/2013,"An August 24, 2012 breach resulted in the exposure of patient information.",HHS via PHIPrivacy.net,"South Bend, Indiana",1,"2,900 (No SSNs or financial information reported)",,Indiana,Unknown,UNKN,MED
